YYYYY - YYYY,pr,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s*$
(YYYY - YYYY),pr,"birth, death",^\s*[(](\d{4})\s*[-]\s*(\d{4})\s*[)]$
b.ca.YYYY,a,birth,^\s*[b][\.]\s*[c][a][\.]\s*(\d{4})$
b.YYYY,p,birth,^\s*[b][\.]\s*(\d{4})$
b.YYYY  or  Y,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{1})$
b.YYYY  or  YY,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{2})$
b.YYYY  or YYYY,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{4})$
b.YYYY or  Y,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{1})$
b.YYYY or  YY,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{2})$
b.YYYY or YY,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{4})$
b.YYYY or YYYY,a,birth,^\s*[b][\.]\s*(\d{4})\s*[o][r]\s*(\d{4})$
b.YYYY?,a,birth,^\s*[b][\.]\s*(\d{4})[?]$
ca. YBC. - YYAD.,a,,^\s*[c][a][\.]\s*(\d{1})\s*[B][C][\.]\s*[-]\s*(\d{2})[A][D][\.]$
ca. YY - ca.YYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{2})\s*[B][C][\.]\s*[-]\s*[c][a][\.]\s*(\d{3})\s*$
ca. YYY - ca. YYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*[c][a][\.]\s*(\d{3})\s*$
ca. YYY - YYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*(\d{3})\s*$
ca. YYY - YYY  or  YY,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*(\d{3})\s*[o][r]\s*(\d{2})\s*$
ca. YYY - YYYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*(\d{4})\s*$
ca.YYBC. - ca. YYAD.,a,"birth, death",^\s*[c][a][\.]\s*(\d{2})\s*[B][C][\.]\s*[-]\s*[c][a][\.]\s*(\d{2})\s*[A][D][\.]\s*$
ca.YYY - ca. YYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*[c][a][\.]\s*(\d{3})\s*$
ca.YYYY - ca.YYYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{4})\s*[-]\s*[c][a][\.]\s*(\d{4})\s*$
ca.YYYY - ca.YYYY?,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*[c][a][\.]\s*(\d{3})\s*[?]\s*$
ca.YYYY - YYYY,a,"birth, death",^\s*[c][a][\.]\s*(\d{4})\s*[-]\s*(\d{4})\s*$
ca.YYYY - YYYY or  Y,a,"birth, death",^\s*[c][a][\.]\s*(\d{4})\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{1})\s*$
ca.YYYY - YYYY or YY,a,"birth, death",^\s*[c][a][\.]\s*(\d{4})\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{2})\s*$
ca.YYYY - YYYY?,a,"birth, death",^\s*[c][a][\.]\s*(\d{3})\s*[-]\s*(\d{3})\s*[?]\s*$
d. YYY,p,death,^\s*[d][\.]\s*(\d{3})\s*$
d. YYY  or  YY,a,death,^\s*[d][\.]\s*(\d{3})\s*[o][r]\s*(\d{2})\s*$
d.ca. YYY,a,death,^\s*[d][\.]\s*[c][a][\.]\s*(\d{3})\s*$
d.ca. YYY,a,death,^\s*[d][\.]\s*[c][a][\.]\s*(\d{3})\s*$
d.ca.YYYY,a,death,^\s*[d][\.]\s*[c][a][\.]\s*(\d{4})\s*$
d.YYYY,p,death,^\s*[d][\.]\s*(\d{4})\s*$
d.YYYY  or  YY,a,death,^\s*[d][\.]\s*(\d{4})\s*[o][r]\s*(\d{2})\s*$
d.YYYY Jan Y,p,death,^\s*[d][\.]\s*(\d{4})\s*[J][a][n]\s*(\d{1})\s*$
d.YYYY or  Y,a,death,^\s*[d][\.]\s*(\d{4})\s*[o][r]\s*(\d{1})\s*$
d.YYYY or YYYY,a,death,^\s*[d][\.]\s*(\d{4})\s*[o][r]\s*(\d{4})\s*$
d.YYYY?,a,death,^\s*[d][\.]\s*(\d{4})[?]$
d.YYYY? ,a,death,^\s*[d][\.]\s*(\d{4})[?]$
fl. YYY,p,floruit-from,^\s*[f][l][\.]\s*(\d{3})\s*$
fl. YYY - YYY,pr,"floruit-from, floruit-to",^\s*[f][l][\.]\s*(\d{3})\s*[-]\s*(\d{3})\s*$
fl.YYYY,p,floruit-from,^\s*[f][l][\.]\s*(\d{4})\s*$
fl.YYYY - YY,a,floruit-from,^\s*[f][l][\.]\s*(\d{4})\s*[-]\s*(\d{2})\s*$
fl.YYYY - YYYY,pr,"floruit-from, floruit-to",^\s*[f][l][\.]\s*(\d{4})\s*[-]\s*(\d{4})\s*$
fl.YYYY - YYYY?,ar,"floruit-from, floruit-to",^\s*[f][l][\.]\s*(\d{4})\s*[-]\s*(\d{4})\s*[?]\s*$
fl.YYYY?,a,floruit-from,^\s*[f][l][\.]\s*(\d{4})\s*[?]\s*$
fl.YYYY? - YYYY,ar,"floruit-from, floruit-to",^\s*[f][l][\.]\s*(\d{4})\s*[?]\s*[-]\s*(\d{4})\s*\s*$
Ynd./Yrd. cent,a,,^\s*(\d{1})[n][d][\.]\s*[/]\s*(\d{1})[r][d][/.]\s*[c][e][n][t]\s*$
Yrd. cent?,a,,^\s*(\d{1})[r][d][\.]\s*[c][e][n][t]\s*[?]\s*$
Yst cent,a,,^\s*(\d{1})[s][t]\s*[c][e][n][t]\s*$
Yth cent,a,,^\s*(\d{1})[t][h]\s*[c][e][n][t]\s*$
Yth cent BC.,a,,^\s*(\d{1})[t][h]\s*[c][e][n][t]\s*[B][C][\.]\s*$
YY - YY,pr,"birth, death",^\s*(\d{2})\s*[-]\s*(\d{2})\s*$
YY - YYBC.,pr,,^\s*(\d{2})\s*[-]\s*(\d{2})\s*[B][C][\.]\s*$
YYBC. - YY or YYAD.,a,,^\s*(\d{2})\s*[B][C][\.]\s*[-]\s*(\d{2})\s*[o][r]\s*(\d{2})\s*[A][D][\.]\s*$
YYth cent,a,,^\s*(\d{2})[t][h]\s*[c][e][n][t]\s*$
YYth cent ,a,,^\s*(\d{2})[t][h]\s*[c][e][n][t]\s*$
YYth century,a,,^\s*(\d{2})[t][h]\s*[c][e][n][t][u][r][y]\s*$
YYth/YYth cent,a,,^\s*(\d{2})[t][h]\s*[/]\s*(\d{2})[t][h]\s*[c][e][n][t]\s*$
YYY - YYY,p,"birth, death",^\s*(\d{3})\s*[-]\s*(\d{3})\s*$
YYY? - YYY?,a,"birth, death",^\s*(\d{3})\s*[?]\s*[-]\s*(\d{3})\s[?]\s*$
YYYY,p,birth,^\s*(\d{4})\s*$
YYYY  or  Y - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{1}\s*[-]\s*(\d{4})\s*$
YYYY  or  YY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*$
YYYY  or YY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*$
YYYY  or YYYY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{4}\s*[-]\s*(\d{4})\s*$
YYYY  or YYYY - YYYY or  Y,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{4}\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{1})\s*$
YYYY - ca.YYYY,a,"birth, death",^\s*(\d{4})\s*[-]\s*[c][a][\.]\s*(\d{4})\s*$
YYYY - YYYY,p,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s*$
YYYY - YYYY or  Y,a,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s[o][r]\s*(\d{1})\s*$
YYYY - YYYY or  YY,a,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s[o][r]\s*(\d{2})\s*$
YYYY - YYYY or YYYY,a,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s[o][r]\s*(\d{4})\s*$
YYYY - YYYY?,a,"birth, death",^\s*(\d{4})\s*[-]\s*(\d{4})\s*[?]\s*$
YYYY Aug YY,p,birth,^\s*(\d{4})\s*[A][u][g]\s*(\d{2})\s*
YYYY or  Y - ca.YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{1}\s*[-]\s*[c][a][\.]\s*(\d{4})\s*$
YYYY or  Y - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{1}\s*[-]\s*(\d{4})\s*$
YYYY or  Y - YYYY  or YY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{1}\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{2})\s*$
YYYY or  Y - YYYY?,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{1}\s*[-]\s*(\d{4})\s*[?]\s*$
YYYY or  YY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*$
YYYY or YY - ca.YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*[c][a][\.]\s*(\d{4})\s*$
YYYY or YY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*$
YYYY or YY - YYYY  or  YY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{2})\s*$
YYYY or YY - YYYY or  Y,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{2}\s*[-]\s*(\d{4})\s*[o][r]\s*(\d{1})\s*$
YYYY or YYYY - YYYY,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{4}\s*[-]\s*(\d{4})\s*$
YYYY or YYYY - YYYY?,a,"birth, death",^\s*(\d{4})\s*[o][r]\s*\d{4}\s*[-]\s*(\d{4})\s*[?]\s*$
YYYY? - ca.YYYY,a,"birth, death",^\s*(\d{4})\s*[?]\s*[-][c][a][\.]\s*(\d{4})\s*$
YYYY? - YYYY,a,"birth, death",^\s*(\d{4})\s*[?]\s*[-]\s*(\d{4})\s*$
YYYY? - YYYY ,a,"birth, death",^\s*(\d{4})\s*[?]\s*[-]\s*(\d{4})\s*$
YYYY? - YYYY?,a,"birth, death",^\s*(\d{4})\s*[?]\s*[-]\s*(\d{4})\s*[?]\s*$
YYYY? YYYY,a,"birth, death",^\s*(\d{4})\s*[?]\s*(\d{4})\s*$
YYYY(ca.) - YYYY,a,"birth, death",^\s*(\d{4})\s*[(][c][a][\.][)]\s*[-]\s*(\d{4})\s*$
