[between YYYY and YYYY?],a,"range_start,range_end",^\s*[\[][b][e][t][w][e][e][n]\s*(\d{4})\s*[a][n][d]\s*(\d{4})[\?][\]]\s*$
[between YYYY - YYYY],p,"range_start,range_end",^\s*[\[][b][e][t][w][e][e][n]\s*(\d{4})\s*[a][n][d]\s*(\d{4})[\]]\s*$
[ca. YYYY],a,date,^\s*[\[]\s*[c][a][\.]\s*(\d{4})\s*[\]]\s*$
[ca. YYYY]],a,date,^\s*[\[]\s*[c][a]\.\s*(\d{4})\s*[\]][\]]\s*$
[not before YYYY],a,date,^\s*[\[][n][o][t]\s*[b][e][f][o][r][e]\s*(\d{4})[\]]\s*$
[YYYY - YY],a,date,^\s*[\[]\s*(\d{4})\s*[-]\s*\d{2}[\]]\s*$
[YYYY - YYYY],p r,"range_start,range_end",^\s*[\[]\s*(\d{4})\s*[-]\s*(\d{4})[\]]\s*$
[YYYY?],a,date,^\s*[\[]\s*(\d{4})[\?][\]]\s*$
[YYYY?]],a,date,^\s*[\[]\s*(\d{4})[\?][\]][\]]\s*$
[YYYY],p,date,^\s*[\[]\s*(\d{4})[\]]\s*$
[YYYY]],p,date,^\s*[\[]\s*(\d{4})[\]][\]]\s*$
An. Dom. YYYY.,p,date,^\s*[A][n][\.]\s*[D][o][m][\.]\s*(\d{4})[\.]\s*$
An. YYYY.,p,date,^\s*[A][n][\.]\s*(\d{4})[\.]\s*$
Ann. Dom. YYYY.,p,date,^\s*[A][n][n][\.]\s*[D][o][m][\.]\s*(\d{4})[\.]\s*$
Anno D[omi]ni. YYYY],p,date,^\s*[A][n][n][o]\s*[D][\[][o][m][i][\]][n][i][\.]\s*(\d{4})[\]]\s*$
anno Dom. YYYY.,p,date,^\s*[a][n][n][o]\s*[D][o][m][\.]\s*(\d{4})[\.]\s*$
Anno Domini YYYY.,p,date,^\s*[A][n][n][o]\s*[D][o][m][i][n][i]\s*(\d{4})[\.]\s*$
"Anno Domini, YYYY.",p,date,"^\s*[A][n][n][o]\s*[D][o][m][i][n][i][,]\s*(\d{4})[\.]\s*$"
Anno Domini. YYYY.,p,date,^\s*[A][n][n][o]\s*[D][o][m][i][n][i][\.]\s*(\d{4})[\.]\s*$
Anno M.D.LIIII [YYYY],p,date,"^\s*[A][n][n][o]\s*M{0,3}[\.]*(CM|CD|D?C{0,3})[\.]*(XC|XL|L?X{0,3})(IX|IV|V?I{0,4})\s*[\[](\d{4})[\]]\s*$"
anno YYYY.,p,date,^\s*[a][n][n][o]\s*(\d{4})[\.]\s*$
Anno. Dom YYYY.,p,date,^\s*[A][n][n][o][\.]\s*[D][o][m][\.]\s*(\d{4})[\.]\s*$
Anno. YYYY.,p,date,^\s*[A][n][n][o][\.]\s*(\d{4})[\.]\s*$
August YY. YYYY.,p,date,^\s*[A][u][g][u][s][t]\s*\d{2}[\.]\s*(\d{4})[\.]\s*$
between YYYY - YYYY],p r,"range_start,range_end",^\s*[b][e][t][w][e][e][n]\s*(\d{4})\s*[-]\s*(\d{4})[\]]\s*$
ca. YYYY?],a,date,^\s*[c][a][\.]\s*(\d{4})[\?][\]]\s*$
ca.YYYY],a,date,^\s*[c][a][\.]\s*(\d{4})[\]]\s*$
in the year YYYY.,p,date,^\s*[i][n]\s*[t][h][e]\s*[y][e][a][r]\s*(\d{4})[\.]\s*$
"in the year, YYYY.",p,date,"^\s*[i][n]\s*[t][h][e]\s*[y][e][a][r][,]\s*(\d{4})[\.]\s*$"
in the yeare YYYY.,p,date,^\s*[i][n]\s*[t][h][e]\s*[y][e][a][r][e]\s*(\d{4})[\.]\s*$
"July YY, YYYY.",p,date,"^\s*[J][u][l][y]\s*\d{2}[,]\s*(\d{4})[\.]\s*$"
July YY. YYYY.,p,date,^\s*[J][u][l][y]\s*\d{2}[\.]\s*(\d{4})[\.]\s*$
MDCC [YYYY],p,date,"^\s*M{0,3}(CM|CD|D?C{0,3})(XC|XL|L?X{0,3})(IX|IV|V?I{0,3})\s*[\[](\d{4})[\]]\s*$"
MDCLIII. [YYYY],p,date,"^\s*M{0,3}(CM|CD|D?C{0,3})(XC|XL|L?X{0,3})(IX|IV|V?I{0,3})[\.]\s*[\[](\d{4})[\]]\s*$"
MDCLXXXII [YYYY],p,date,"^\s*M{0,3}(CM|CD|D?C{0,3})(XC|XL|L?X{0,3})(IX|IV|V?I{0,3})\s*[\[](\d{4})[\]]\s*$"
Printed anno Dom. YYYY.,p,date,^\s*[P][r][i][n][t][e][d]\s*[a][n][n][o]\s*[D][o][m][\.]\s*(\d{4})[\.]\s*$
Printed in the year YYYY.,p,date,^\s*[P][r][i][n][t][e][d]\s*[i][n]\s*[t][h][e]\s*[y][e][a][r]\s*(\d{4})[\.]\s*$
"Printed in the year, YYYY.",p,date,"^\s*[P][r][i][n][t][e][d]\s*[i][n]\s*[t][h][e]\s*[y][e][a][r][,]\s*(\d{4})[\.]\s*$"
"Printed in the yeare, YYYY.",p,date,"^\s*[P][r][i][n][t][e][d]\s*[i][n]\s*[t][h][e]\s*[y][e][a][r][e][,]\s*(\d{4})[\.]\s*$"
Printed in the yeere YYYY.,p,date,^\s*[P][r][i][n][t][e][d]\s*[i][n]\s*[t][h][e]\s*[y][e][e][r][e]\s*(\d{4})[\.]\s*$
Printed YYYY.,p,date,^\s*[P][r][i][n][t][e][d]\s*(\d{4})[\.]\s*$
YYY - ?],a,date,^\s*(\d{3})\s*[-]\s*[\?][\]]\s*$
YYYY,p,date,^\s*(\d{4})\s*$
YYYY [i.e. YYYY],p,date,^\s*\d{4}\s*[\[][i][\.][e][\.]\s*(\d{4})[\]]\s*$
YYYY [YYYY],p,date,^\s*\d{4}\s*[\[]\s*(\d{4})[\]]\s*$
YYYY - YY,a,date,^\s*(\d{4})\s*[-]\s*\d{2}[\.]*\s*$
YYYY - YYYY.,p r ,"range_start,range_end",^\s*(\d{4})\s*[-]\s*(\d{4})[\.]\s*$
YYYY?],a,date,^\s*(\d{4})\s*[\?][\]]\s*$
YYYY. [i.e. YYYY],p,date,^\s*\d{4}[\.]\s*[\[]\s*[i][\.][e][\.]\s*(\d{4})\s*[\]]\s*$
YYYY.,p,date,^\s*(\d{4})\s*[\.]\s*$
YYYY],p,date,^\s*(\d{4})\s*[\]]\s*$
YYYY]],p,date,^\s*(\d{4})\s*[\]][\]]\s*$
YYYY/Y [i.e. YYYY],p,date,^\s*\d{4}[/]\d{1}\s*[\[][i][\.][e][\.]\s*(\d{4})\s*[\]]\s*$
YYYY/Y,a,date,^\s*\d{4}[/]\d{1}\s*$
